Date,Open,High,Low,Close,Volume
2021-11-10,47.62,48.47,46.37,47.16,2274169
2021-11-12,47.5,48.1,46.34,46.35,2030592
2021-11-15,46.13,47.31,45.84,45.84,2683381
2021-11-16,46.14,46.72,45.75,46.25,2606472
2021-11-17,46.56,46.92,45.82,45.96,2226780
2021-11-18,45.96,45.97,44.61,44.92,2085890
2021-11-19,44.68,45.06,43.34,43.75,2145247
2021-11-22,44,44.69,43.61,43.61,2087077
2021-11-23,43.5,45,42.6,44.1,2381495
2021-11-24,44.15,44.39,43.66,44.1,1883973
2021-11-25,44.31,44.66,43.61,44.47,1233168
2021-11-26,42.82,43,41.5,41.9,2915468
2021-11-29,42.1,42.53,41.27,41.98,2170944
2021-11-30,41.62,43.87,41.53,43.75,2524661
2021-12-01,43.97,44.97,43.88,44.26,3326152
2021-12-02,43.9,44.72,43.54,44.32,2012184
2021-12-03,44.74,45.58,44.16,44.39,2420162
2021-12-06,44.52,45.03,44.3,45.03,1953705
2021-12-07,45.48,45.74,44.47,44.91,3231196
2021-12-08,45.04,45.25,43.93,44.28,1616151
2021-12-09,43.86,44.47,43.06,44,2283273
2021-12-10,43.92,43.92,43.3,43.5,1011085
2021-12-13,43.5,44.29,42.66,42.98,1743160
2021-12-14,43,43.45,42.24,43.41,1989681
2021-12-15,43.28,43.28,41.73,41.75,1811402
2021-12-16,42.07,43.39,42.07,43.09,1653761
2021-12-17,42.92,43.4,41.65,41.95,4926364
2021-12-20,41.09,42.49,40.7,42.49,1255651
2021-12-21,42.74,42.96,42.04,42.04,864319
2021-12-22,42.18,42.69,42.09,42.65,1138296
2021-12-23,42.69,43.99,42.69,43.8,1607026
2021-12-27,43.8,44.16,43.34,44.16,942769
2021-12-28,43.7,45.08,43.7,44.92,1413269
2021-12-29,44.54,45.09,44.06,44.4,1384139
2021-12-30,44.2,44.98,44.19,44.93,1111962
2022-01-03,45.16,46.2,45.03,45.65,3222007
2022-01-04,45.87,46.59,45.84,46.5,3196518
2022-01-05,46.51,46.55,45.9,46.14,2385699
2022-01-07,46.9,46.9,45.9,46.54,2982299
2022-01-10,46.5,47.87,46.3,46.92,2967858
2022-01-11,47.38,48.45,46.88,48.35,3343648
2022-01-12,48.5,49.53,48.18,49.53,3387019
2022-01-13,49.5,49.9,48.99,49.78,4070855
2022-01-14,49.78,50.44,48.07,48.49,4686565
2022-01-17,48.3,48.85,48.1,48.67,1131218
2022-01-18,48.5,48.6,47.55,47.81,1563018
2022-01-19,47.22,47.99,46.96,47.39,2674245
2022-01-20,47.5,47.84,46.74,47.36,2178888
2022-01-21,46.92,47.38,46.63,47.28,2250654
2022-01-24,47.2,47.89,44.93,45.23,3089861
2022-01-25,45.23,46.79,45.21,46.05,2782897
2022-01-26,46.33,47.99,46.33,47.7,2265761
2022-01-27,47.7,48.8,47.25,48.14,3110401
2022-01-28,47.71,47.81,46.6,47.27,2527399
2022-01-31,47.61,48.48,47.18,47.64,3595198
2022-02-01,48.2,48.48,47.56,48,1649205
2022-02-02,48.22,49.21,48.1,49.21,2558143
2022-02-03,49.21,49.23,48.53,49.15,1889135
2022-02-04,49.57,49.57,48.01,48.01,2253017
2022-02-07,48.23,48.81,46.61,47.6,1803980
2022-02-08,47.77,49,47.61,48.97,2382057
2022-02-09,49.2,49.43,48.37,49,1924521
2022-02-10,48.99,49.2,47.81,48.15,2020688
2022-02-11,47.77,48,46.75,47.65,2239343
2022-02-14,45.6,46.97,45.14,46.39,2141818
2022-02-15,46.8,47.71,46.74,47.27,1345946
2022-02-16,47.67,48.44,46.96,47.21,1989410
2022-02-17,47.3,47.58,46.09,46.5,1338556
2022-02-18,46.32,46.66,45.77,45.77,1334931
2022-02-21,46,46.24,43.73,43.86,1753363
2022-02-22,43,44.28,42.55,43.8,3130097
2022-02-23,44.19,44.83,43.13,43.22,2601370
2022-02-24,39.5,41,35.55,35.95,8507815
2022-02-25,37.2,41.25,37.02,40.72,8335024
2022-02-28,39.46,40.81,38.21,40.33,8476421
2022-03-01,40.35,41.17,37.71,37.71,9477137
2022-03-02,37.53,38.77,37,38.35,9300791
2022-03-03,38.1,38.37,36.93,36.93,7381136
2022-03-04,36.92,36.92,33.56,35.06,6720461
2022-03-07,33.35,34.12,31.05,33.4,20808923
2022-03-08,32.77,35.2,32.15,33.13,11669104
2022-03-09,34.09,36.87,33.8,36.71,6949147
2022-03-10,37.4,37.4,35,35.97,5315056
2022-03-11,37,38.45,36.2,37.11,5295367
2022-03-14,37.5,38.1,36.44,36.99,3315898
2022-03-15,36.99,38.24,36.56,37.83,2689647
2022-03-16,38.42,39.99,38.33,39.74,5733486
2022-03-17,40.05,40.84,39.25,40.37,5808038
2022-03-18,40.18,40.51,39.44,39.7,7170725
2022-03-21,39.62,40.28,38.2,38.37,3251578
2022-03-22,39,39.3,38.44,39.22,2650134
2022-03-23,39.79,39.98,38.54,39.33,2451848
2022-03-24,39.38,39.44,38.42,38.6,3785726
2022-03-25,38.8,38.92,37.88,38.65,2729576
2022-03-28,38.7,39.29,38.12,38.2,4185538
